Titre,album,Artiste,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Don’t Start Now (Kaytranada Remix),Don’t Start Now (Kaytranada Remix),Dua Lipa,2020-09-11,267253,2,0.00168,0.726,0.588,0.008140000000000001,0.0809,-12.405999999999999,0.0569,114.988,4
Stay,Wanderer,Cat Power,2018-10-05,238176,3,0.976,0.308,0.155,0.00013700000000000002,0.09300000000000001,-15.345,0.0599,188.78599999999997,3
Train Wreck,Back from the Edge,James Arthur,2016-10-28,208826,5,0.701,0.311,0.485,0.0,0.0726,-5.726,0.0365,77.355,4
Entre Tú y Yo,Entre Tú y Yo,Chema Rivas,2020-02-13,224000,5,0.28800000000000003,0.8540000000000001,0.669,0.0,0.221,-5.206,0.0617,120.023,4
Desperado,ANTI (Deluxe),Rihanna,2016-01-28,186466,5,0.32299999999999995,0.685,0.61,0.0,0.102,-5.221,0.0439,94.384,3
Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,257800,5,0.0644,0.828,0.49200000000000005,0.00428,0.128,-9.744,0.0276,120.15100000000001,4
Problemas,Problemas,Paris Boy,2020-10-11,222892,5,0.677,0.787,0.23800000000000002,2.2e-05,0.0869,-13.154000000000002,0.0554,98.022,4
Mi Cuarto,DI LETRA,Jerry Di,2020-04-03,197586,5,0.8190000000000001,0.8540000000000001,0.525,0.0,0.146,-4.426,0.214,97.054,4
Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),Capital Cities,2013,192789,5,0.000176,0.655,0.8190000000000001,0.00374,0.10400000000000001,-4.852,0.0316,117.956,5
Joro,Joro,WizKid,2019-09-30,262736,4,0.253,0.6859999999999999,0.6940000000000001,0.000904,0.109,-3.693,0.257,189.998,4
"Agua - Music From ""Sponge On The Run"" Movie",Pileta y Sol,Various Artists,2021-01-29,157944,1,0.162,0.76,0.6579999999999999,0.0,0.195,-5.275,0.275,100.20200000000001,4
Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry,2020-07-03,166028,5,0.168,0.7340000000000001,0.8740000000000001,1.1400000000000001e-05,0.0489,-3.158,0.0662,122.95299999999999,4
Sofia,Immunity,Clairo,2019-08-02,188386,5,0.598,0.7440000000000001,0.619,0.00372,0.231,-9.805,0.039,112.99700000000001,4
Levitating (feat. DaBaby),Levitating (feat. DaBaby),Dua Lipa,2020-10-01,203064,5,0.00883,0.7020000000000001,0.825,0.0,0.0674,-3.787,0.0601,102.977,4
Break My Heart,Future Nostalgia,Dua Lipa,2020-03-27,221820,5,0.16699999999999998,0.73,0.7290000000000001,1.39e-06,0.349,-3.4339999999999997,0.0883,113.01299999999999,4
Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,2012-12-07,233478,5,0.049,0.726,0.698,0.0,0.309,-4.165,0.0431,143.994,4
U Can't Touch This,Please Hammer Don't Hurt 'Em,MC Hammer,1990-02-20,257360,4,0.00456,0.867,0.517,0.000339,0.0864,-13.222000000000001,0.0875,133.148,4
Blood // Water,a modern tragedy vol. 1,grandson,2018-06-15,214520,5,0.0016300000000000002,0.504,0.8909999999999999,0.00199,0.14800000000000002,-5.632000000000001,0.13699999999999998,153.988,4
Midnight Sky,Midnight Sky,Miley Cyrus,2020-08-14,223279,5,0.00115,0.705,0.8140000000000001,0.00312,0.203,-5.466,0.0346,110.0,4
Supalonely (feat. Gus Dapperton),Hey u x,BENEE,2020-11-13,223488,4,0.29100000000000004,0.862,0.631,0.00020899999999999998,0.12300000000000001,-4.746,0.0515,128.97799999999998,4
Golden,Fine Line,Harry Styles,2019-12-13,208906,5,0.21,0.44799999999999995,0.838,0.000131,0.131,-5.257000000000001,0.0557,139.863,4
Lonely (with benny blanco) - Acoustic,Lonely (with benny blanco) [Main + Acoustic],Justin Bieber,2020-10-27,155188,3,0.9690000000000001,0.365,0.11699999999999999,2.48e-06,0.684,-10.61,0.040999999999999995,168.74400000000003,4
Just the Two of Us (feat. Bill Withers),Anthology,"Grover Washington, Jr.",1985,237106,5,0.5720000000000001,0.802,0.488,0.0598,0.0763,-9.304,0.0813,95.77,4
End Of The World,Herman's Hermits Retrospective,Herman's Hermits,1966-01-01,179973,2,0.792,0.345,0.24600000000000002,3.73e-05,0.0906,-11.237,0.0292,179.604,3
"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","La Curiosidad (Blue Grand Prix Remix) [feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi]",Jay Wheeler,2020-12-17,382555,5,0.10400000000000001,0.841,0.674,0.0,0.131,-5.35,0.0962,90.007,4
La Tóxica (feat. Jay Wheeler & Tempo) - Remix,La Tóxica (feat. Jay Wheeler & Tempo) [Remix],Farruko,2020-10-21,294240,5,0.102,0.727,0.6920000000000001,1.07e-06,0.0562,-3.25,0.10400000000000001,92.01899999999999,4
Where Is the Love? - Originally Performed By Black Eyed Peas,40 Super Hits Karaoke: R&B Top of the Charts,B the Star,2011-04-05,224340,1,0.0916,0.889,0.38,0.12300000000000001,0.0482,-9.727,0.0493,94.12200000000001,4
Take You Dancing,Take You Dancing,Jason Derulo,2020-07-22,190306,5,0.0332,0.789,0.711,0.0,0.0876,-4.248,0.040999999999999995,112.985,4
Ayer Me Llamó Mi Ex (feat. Lenny Santos),Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,2020-08-20,206760,5,0.254,0.752,0.716,0.0,0.243,-5.2,0.0325,117.007,4
Classical Gas,The Mason Williams Phonographic Record,Mason Williams,1968,184800,2,0.852,0.486,0.701,0.746,0.10800000000000001,-10.53,0.0348,155.269,4
2:50,2:50,MYA,2020-09-23,185142,4,0.114,0.794,0.8240000000000001,0.0,0.319,-3.7260000000000004,0.0491,140.06799999999998,4
Still Don't Know My Name,Euphoria (Original Score from the HBO Series),Labrinth,2019-10-04,153294,5,0.47100000000000003,0.316,0.63,0.262,0.205,-5.962999999999999,0.11699999999999999,89.64299999999999,1
hot girl bummer,everything means nothing,blackbear,2020-08-21,188343,5,0.125,0.782,0.5589999999999999,0.0,0.385,-7.106,0.0767,129.99200000000002,1
Yo Te Amo,Simplemente,Chayanne,2000-11-28,288946,3,0.18899999999999997,0.573,0.642,0.0,0.221,-6.872999999999999,0.0272,140.264,4
Ride It,Ride It,Regard,2019-07-26,157605,5,0.177,0.88,0.7509999999999999,6.43e-05,0.106,-4.258,0.0874,117.948,4
Memories,Memories,Maroon 5,2019-09-20,189486,5,0.8370000000000001,0.764,0.32,0.0,0.0822,-7.209,0.0546,91.01899999999999,4
Shower,Shower,Becky G,2014-04-23,206166,5,0.0317,0.6990000000000001,0.529,3.59e-05,0.285,-7.547999999999999,0.0487,119.98700000000001,4
Cradles,Cradles,Sub Urban,2019-01-04,209829,5,0.256,0.534,0.589,6.02e-05,0.17600000000000002,-1.865,0.325,78.616,4
Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II,Gym Class Heroes,2011-11-11,210960,5,0.0319,0.6459999999999999,0.795,0.0,0.267,-3.293,0.0976,89.99,4
Somewhere Only We Know,Hopes And Fears,Keane,2004-01-01,236160,4,0.0794,0.45299999999999996,0.655,7.61e-06,0.0849,-4.22,0.0259,172.012,4
Nada - Acústica,Nada (Acústica),Cali Y El Dandee,2020-09-29,186880,2,0.159,0.46299999999999997,0.65,0.0,0.107,-4.093,0.0358,173.81099999999998,4
Me Gusta (with Cardi B & Myke Towers),Me Gusta (with Cardi B & Myke Towers),Anitta,2020-09-18,180788,5,0.44799999999999995,0.91,0.604,0.0,0.0863,-4.3919999999999995,0.08199999999999999,110.075,4
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,2020-11-06,192745,5,0.151,0.721,0.745,1.24e-06,0.37200000000000005,-3.508,0.0366,90.988,4
Hometown,Blurryface,Twenty One Pilots,2015-05-15,234946,4,0.0577,0.6829999999999999,0.753,0.0020800000000000003,0.35700000000000004,-5.564,0.0317,120.03,4
Sign of the Times,Harry Styles,Harry Styles,2017-05-12,340706,5,0.0275,0.516,0.595,0.0,0.109,-4.63,0.0313,119.97200000000001,4
Heart Of Glass,Parallel Lines,Blondie,1978-09-23,229423,3,0.0539,0.77,0.654,0.00047000000000000004,0.0819,-6.108,0.0361,114.82,4
All Together Now,Spartacus,The Farm,1991-04-26,343866,1,0.0216,0.611,0.5770000000000001,0.00206,0.113,-15.205,0.0337,111.68700000000001,4
Poker Face,The Fame,Lady Gaga,2008-01-01,237200,4,0.11800000000000001,0.851,0.8059999999999999,1.64e-06,0.121,-4.62,0.0787,118.999,4
Way down We Go,A/B,KALEO,2016-06-10,213706,5,0.579,0.489,0.505,0.000333,0.10400000000000001,-8.022,0.11699999999999999,163.255,4
Space Cadet (feat. Gunna),NOT ALL HEROES WEAR CAPES (Deluxe),Metro Boomin,2018-11-06,203266,5,0.368,0.9009999999999999,0.46399999999999997,1.7100000000000002e-05,0.23800000000000002,-9.789,0.0645,109.00399999999999,4
Dream a Little Dream,The Undoing (Soundtrack From The HBO® Series),Evgueni Galperine,2020-10-30,223435,2,0.235,0.537,0.368,0.048,0.111,-14.059000000000001,0.0308,75.51899999999999,4
"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money,2020-08-28,195428,5,0.25,0.8,0.6579999999999999,0.0,0.111,-6.142,0.079,140.042,4
positions,Positions,Ariana Grande,2020-10-30,172324,5,0.46799999999999997,0.737,0.802,0.0,0.0931,-4.771,0.0878,144.015,4
I Want to Know What Love Is - 1999 Remaster,Agent Provocateur,Foreigner,1984-12-12,304786,5,0.193,0.47700000000000004,0.47100000000000003,1.76e-06,0.131,-10.036,0.0277,81.204,4
Un Beso en Madrid,Un Beso en Madrid,TINI,2020-10-29,143197,4,0.313,0.358,0.618,0.0,0.596,-6.794,0.0959,79.45,4
PAPÁS,PAPÁS,Mau y Ricky,2020-08-06,193186,4,0.083,0.785,0.847,0.0,0.10099999999999999,-3.182,0.0904,93.024,4
Ya No Más,Ya No Más,Fer Palacio,2019-03-13,158447,4,0.138,0.795,0.6759999999999999,0.00373,0.0734,-6.428999999999999,0.0589,100.045,4
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,187541,5,0.0194,0.935,0.45399999999999996,0.0,0.0824,-7.5089999999999995,0.375,133.07299999999998,4
Desesperado (Voy A Tomar),Desesperado (Voy A Tomar),Joey Montana,2020-10-09,253173,4,0.0138,0.815,0.747,0.0,0.0207,-3.964,0.0674,93.992,4
Feel It Still,Woodstock,Portugal. The Man,2017-06-16,163253,5,0.0417,0.8009999999999999,0.795,0.000113,0.0717,-5.115,0.0504,79.028,4
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Europop,Eiffel 65,2011-01-05,283747,5,0.259,0.8220000000000001,0.9690000000000001,0.000153,0.39,-11.470999999999998,0.0582,128.007,4
Alors on danse,Cheese,Stromae,2010-01-01,206066,5,0.0994,0.7909999999999999,0.59,0.00203,0.065,-9.206,0.0793,119.95100000000001,4
Home,Home,Edith Whiskers,2020-10-16,195358,5,0.982,0.725,0.19899999999999998,0.00395,0.1,-12.478,0.0357,120.031,4
Dusk Till Dawn (feat. Sia) - Radio Edit,Icarus Falls,ZAYN,2018-12-14,239000,5,0.102,0.259,0.43700000000000006,1.32e-06,0.106,-6.5889999999999995,0.0386,180.042,4
you broke me first,you broke me first,Tate McRae,2020-04-17,169265,5,0.785,0.667,0.373,0.0,0.0906,-9.389,0.05,124.148,4
это ли счастье?,это ли счастье?,Rauf & Faik,2019-04-19,204489,4,0.5770000000000001,0.684,0.76,0.000131,0.14,-5.033,0.0463,154.033,4
Nothing's Gonna Stop Us Now,No Protection,Starship,1987-07-27,270333,5,0.0299,0.643,0.802,0.0,0.0719,-4.92,0.0227,95.99,4
Se Acabó la Cuarentena,Viva el Perreo,Jowell & Randy,2020-08-06,166971,4,0.0012699999999999999,0.8859999999999999,0.605,0.0167,0.0767,-4.311,0.109,122.052,4
Put Your Records On,Put Your Records On,Ritt Momney,2020-04-24,210463,5,0.0563,0.39899999999999997,0.491,0.0008900000000000001,0.11,-10.777999999999999,0.0538,91.066,4
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,160000,5,0.65,0.7090000000000001,0.5479999999999999,1.59e-06,0.133,-8.493,0.353,83.995,4
Patlamaya Devam,Patlamaya Devam,Isyan Tetick,2020-10-02,143500,4,0.644,0.8490000000000001,0.632,0.0,0.0947,-7.206,0.32299999999999995,101.56,4
Bette Davis Eyes,Mistaken Identity,Kim Carnes,1981-01-01,228000,4,0.0204,0.675,0.649,0.0,0.0959,-10.270999999999999,0.0319,116.624,4
Believer,Evolve,Imagine Dragons,2017-06-23,204346,5,0.0622,0.7759999999999999,0.78,0.0,0.081,-4.374,0.128,124.949,4
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,5,0.604,0.45899999999999996,0.575,0.0,0.0885,-4.8580000000000005,0.0573,111.881,4
Fallin’ (Adrenaline),Fallin’ (Adrenaline),Why Don't We,2020-09-29,216504,5,0.0101,0.606,0.9,0.0,0.075,-4.504,0.11900000000000001,133.963,4
pov,Positions,Ariana Grande,2020-10-30,201882,5,0.36,0.48700000000000004,0.534,0.0,0.1,-5.664,0.0555,131.798,4
Smalltown Boy,The Age of Consent,Bronski Beat,1984-10-15,302413,4,0.28800000000000003,0.685,0.584,0.009179999999999999,0.124,-10.616,0.0276,134.546,4
Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,2020-06-03,147638,5,0.00391,0.624,0.614,0.0278,0.187,-4.165,0.0448,168.87,4
Lose Control - ChildsPlay & Badd Dimes Remix,"Lose Control (The Remixes, Pt. 2)",MEDUZA,2020-01-03,207021,3,0.0269,0.627,0.768,0.00124,0.11599999999999999,-6.185,0.042,127.90299999999999,4
High (Remix),High (Remix),Maria Becerra,2020-09-03,244200,5,0.152,0.6679999999999999,0.35100000000000003,0.0,0.113,-7.782,0.114,200.017,4
Digital Love,Discovery,Daft Punk,2001-03-12,301373,4,0.0481,0.644,0.664,0.862,0.342,-8.398,0.0333,124.726,4
Dancin (feat. Luvli) - Krono Remix,Dancin (feat. Luvli) [Krono Remix],Aaron Smith,2014-11-07,198053,5,0.10099999999999999,0.72,0.741,1.4099999999999999e-05,0.289,-6.529,0.0287,119.896,4
Mala Vida,Mala Vida,Nicki Nicole,2020-09-09,160423,4,0.285,0.521,0.675,2.67e-06,0.299,-5.101,0.175,190.09099999999998,4
Potential Breakup Song,Potential Breakup Song,Aly & AJ,2020-12-29,218333,4,0.000469,0.5539999999999999,0.899,0.000365,0.0867,-4.149,0.0385,157.995,4
Prayer in C - Robin Schulz Radio Edit,Prayer in C,Lilly Wood and The Prick,2014-05-16,189413,4,0.024,0.763,0.875,5.41e-06,0.599,-5.797000000000001,0.0262,123.01299999999999,4
What's Up?,"Bigger, Better, Faster, More !",4 Non Blondes,1992-01-01,295533,5,0.161,0.565,0.564,0.0,0.114,-10.044,0.0292,134.355,4
I Gotta Feeling (Made Famous by Black Eyed Peas),Greatest Hits 2010,The Future Hit Makers,2010-10-01,247500,1,0.0162,0.757,0.525,0.0,0.0813,-7.257999999999999,0.0269,128.01,4
Without Me,The Eminem Show,Eminem,2002-05-26,290320,5,0.00286,0.9079999999999999,0.669,0.0,0.237,-2.827,0.0738,112.238,4
"What Is Love - 7"" Mix",The Album,Haddaway,1993-09-13,270373,4,0.0222,0.6829999999999999,0.772,0.0149,0.203,-7.907,0.0311,123.87100000000001,4
Swing,Savage Island,Savage,2008-01-01,217893,3,0.0209,0.885,0.474,0.0,0.0895,-8.133,0.25,150.072,4
Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,5,0.163,0.599,0.44799999999999995,0.0,0.106,-6.312,0.0232,95.05,3
Stolen Dance,Sadnecessary,Milky Chance,2014-06-20,313684,4,0.42700000000000005,0.885,0.581,0.000204,0.0759,-8.812999999999999,0.0378,114.016,4
(I Just) Died In Your Arms,Broadcast,Cutting Crew,1986-01-01,280400,4,0.0158,0.625,0.726,0.000169,0.0625,-11.402000000000001,0.0444,124.945,4
Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),Calvin Harris,2019-01-11,229184,5,0.016,0.807,0.887,0.000503,0.0811,-4.311,0.0361,122.015,4
Hopelessly Devoted To You - From “Grease”,Grease (The Original Motion Picture Soundtrack),Various Artists,1978-04-04,185360,5,0.292,0.59,0.33799999999999997,0.0131,0.121,-13.100999999999999,0.03,110.581,3
(I'm Not Your) Steppin' Stone - 2006 Remaster,More of The Monkees (Deluxe Edition),The Monkees,1967-01-09,146533,2,0.0151,0.537,0.677,0.000199,0.0981,-4.437,0.0301,131.477,4
Take On Me - MTV Unplugged,MTV Unplugged - Summer Solstice,a-ha,2017-10-06,253906,3,0.966,0.47200000000000003,0.204,4.1200000000000005e-05,0.69,-13.419,0.0408,129.504,4
Stunnin' (feat. Harm Franklin),Pity Party,Curtis Waters,2020-10-09,144000,4,0.33,0.885,0.685,0.0,0.14800000000000002,-6.428999999999999,0.0627,99.954,4
Killing Me Softly With His Song,The Score (Expanded Edition),Fugees,1996-02-13,298773,5,0.0279,0.765,0.29,0.0,0.5710000000000001,-17.117,0.139,92.40899999999999,4
Point Of View - Radio Edit,Point Of View,DB Boulevard,2018-06-12,231166,2,0.0028399999999999996,0.6759999999999999,0.715,0.0746,0.0685,-6.854,0.0287,129.006,4
Sweet Dreams (Are Made of This) - Remastered,Sweet Dreams (Are Made Of This),Eurythmics,1983-01-04,216933,5,0.225,0.6920000000000001,0.711,0.0,0.12,-7.497999999999999,0.0317,125.135,4
Every Breath You Take,Synchronicity (Remastered 2003),The Police,1983-06-17,253920,5,0.5429999999999999,0.82,0.452,0.00294,0.0714,-9.796,0.0348,117.40100000000001,4
El Farolito (Acústico),El Farolito (Acústico),Ciro y los Persas,2020-10-27,302731,3,0.259,0.809,0.539,2.82e-06,0.10800000000000001,-7.272,0.0358,104.965,4
survivin',survivin',Bastille,2020-09-22,173206,4,0.25,0.787,0.78,0.0,0.0908,-5.023,0.129,95.035,4
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Platinum & Gold Collection,Jennifer Warnes,2004-07-02,289066,4,0.0874,0.7,0.7809999999999999,0.0034200000000000003,0.059000000000000004,-8.255,0.0507,108.695,4
We Are Young (feat. Janelle Monáe),Some Nights,fun.,2012-02-21,250626,4,0.02,0.37799999999999995,0.638,7.659999999999999e-05,0.0849,-5.5760000000000005,0.075,184.08599999999998,4
Pegao / Me Miro y La Mire (TikTok Hit),Pegao / Me Miro y La Mire (TikTok Hit),Omega,2020-05-20,216666,4,0.105,0.945,0.521,0.0557,0.0568,-5.0280000000000005,0.271,120.031,4
Friendships,Friendships,Pascal Letoublon,2017-09-05,242015,4,0.13699999999999998,0.726,0.78,0.914,0.0985,-6.312,0.0414,119.991,4
Pumped Up Kicks,Torches,Foster The People,2011-05-23,239600,5,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,4
Blunted 4,Blunted 4,Bruno LC,2020-03-19,180363,3,0.0401,0.8390000000000001,0.622,0.0071,0.0575,-3.8339999999999996,0.237,85.99,4
Llora me llama,Grupo Play (La poesía musical),Grupo Play,2012-02-01,192186,3,0.35600000000000004,0.7120000000000001,0.7829999999999999,0.0,0.109,-2.525,0.0335,98.04899999999999,4
Adore You,Fine Line,Harry Styles,2019-12-13,207133,5,0.0237,0.6759999999999999,0.7709999999999999,7.000000000000001e-06,0.102,-3.675,0.0483,99.04799999999999,4
Let Her Go,All the Little Lights (Deluxe Version),Passenger,2013-02-17,252733,5,0.365,0.479,0.545,0.0,0.0963,-7.346,0.0688,74.89699999999999,4
NO,Thank You (Deluxe Version),Meghan Trainor,2017-05-12,213506,4,0.0124,0.557,0.8029999999999999,1.61e-06,0.737,-3.5989999999999998,0.213,92.134,4
Beso,Beso,CNCO,2020-08-28,203631,4,0.20199999999999999,0.8190000000000001,0.736,0.0,0.22399999999999998,-3.373,0.0912,92.056,4
Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2018-11-30,217466,5,0.00987,0.601,0.794,1.36e-06,0.38799999999999996,-5.843999999999999,0.0671,114.066,4
Funkytown,Casablanca Records Greatest Hits,Various Artists,1996-04-04,239226,2,0.00196,0.895,0.45299999999999996,0.374,0.0982,-13.987,0.0756,122.15100000000001,4
Life Goes On,BE,BTS,2020-11-20,207481,5,0.0069099999999999995,0.5660000000000001,0.716,0.0,0.37,-5.733,0.0424,81.068,4
Blue & Grey,BE,BTS,2020-11-20,254950,5,0.42,0.547,0.605,0.0,0.125,-6.755,0.0415,121.95299999999999,4
Fly To My Room,BE,BTS,2020-11-20,222242,5,0.0484,0.764,0.526,0.0,0.0718,-7.355,0.212,114.91,4
Telepathy,BE,BTS,2020-11-20,202313,5,0.00782,0.787,0.669,0.0,0.12300000000000001,-4.333,0.0428,104.994,4
Dis-ease,BE,BTS,2020-11-20,239722,5,0.0132,0.731,0.845,0.0,0.0782,-5.352,0.132,101.085,4
Stay,BE,BTS,2020-11-20,204800,5,0.114,0.5820000000000001,0.693,0.0,0.13,-5.048,0.0465,125.904,4
Therefore I Am,Therefore I Am,Billie Eilish,2020-11-12,174321,5,0.218,0.889,0.34,0.13,0.055,-7.773,0.0697,94.009,4
Hecha Pa' Mi,Más Negro Que Rojo,Boza,2020-07-31,186133,5,0.36200000000000004,0.725,0.7559999999999999,0.000685,0.10300000000000001,-5.013,0.0572,100.07,4
Careless Whisper,Ladies And Gentlemen... The Best Of George Michael,George Michael,1998-11-09,300106,5,0.128,0.574,0.629,0.0,0.271,-8.815,0.0363,153.119,4
